"user_id","monster_id"
5000065336,2077
5000146602,1032
5000177605,2079
5000257431,2013
5000305216,2005
5000334443,2018
5000487299,2014
5000487515,2222
5000501994,2255
5000502049,1017
5000512864,1046
5000548555,1045
5000588254,1039
5000632334,2078
5000644418,2083
5000648616,2071
5000673353,2002
5000736057,1017
5000784429,2034
5000799642,2221
5000839453,2086
5000852315,2017
5000946632,2014
5001155819,2205
5001167136,2086
5001171617,2104
5001187623,2086
5001206036,1032
5001231818,2014
5001376532,1032
5001425627,2003
5001428606,2014
5001499014,1032
5001724482,2021
5001780689,1046
5001826132,2021
5001905609,2104
5001949937,1017
5001967328,1031
5001987985,2003
5002045844,2018
5002091348,2007
5002169819,2011
5002191631,2008
5002195969,2079
5002234422,2087
5002259309,1045
5002366997,2084
5002369196,1031
5002448954,2086
5002476518,2071
5002506898,2005
5002533255,2077
5002567590,2083
5002577661,2069
5002584932,2082
5002658726,2281
5002681745,2002
5002741247,1046
5002805316,2009
5002821718,2018
5002910814,2076
5002945658,2084
5002970683,2077
5002988742,2014
5003074092,1031
5003103188,2001
5003142445,2203
5003198804,2157
5003203863,2256
5003273936,2087
5003323789,2002
5003324434,2013
5003452403,2108
5003535494,2006
5003544549,2034
5003548430,2205
5003586062,2084
5003607307,2005
5003623789,1031
5003624287,2085
5003629863,2009
5003653780,2073
5003773620,2108
5003815682,2086
5003818325,2081
5003858843,2014
5003868823,2024
5003896343,2022
5003935714,2078
5003952790,2008
5004001678,2085
5004011964,2021
5004028157,2071
5004106940,1031
5004139789,2077
5004220268,2083
5004229368,2125
5004235526,1045
5004261236,2082
5004262632,2018
5004282464,1046
5004306352,2013
5004321292,2082
5004343055,2017
5004449740,2017
5004455902,2157
5004489829,2019
5004533401,2007
5004559050,2003
5004629041,2125
5004695244,2019
5004729020,2013
5004765799,2022
5004765867,2002
5004775803,2017
5004870426,2086
5004886387,2005
5004927563,2080
5004940714,2019
5004944684,2072
5004972799,2017
5005024288,2019
5005051718,2017
5005148239,2080
5005165210,2111
5005205317,2008
5005237273,1044
5005339090,2100
5005364447,1044
5005396309,2019
5005401072,2080
5005425712,2013
5005468300,2014
5005487441,2130
5005512092,2071
5005584108,2014
5005599820,2069
5005604568,2024
5005635396,1053
5005700754,1032
5005708280,2078
5005712975,2014
5005713560,2078
5005788738,1039
5005842420,2076
5005847170,2079
5005887569,2147
5005936570,2085
5005962040,2071
5006039045,2013
5006041553,2086
5006067971,2096
5006086544,2077
5006110410,1031
5006133993,2083
5006142879,1044
5006150212,2085
5006199181,2014
5006211874,2076
5006233261,2071
5006253705,1045
5006335392,2113
5006360441,2085
5006406887,2013
5006413662,1046
5006449893,2084
5006463395,2073
5006471102,2003
5006507341,2072
5006548156,2034
5006555624,2034
5006630118,2009
5006689153,2003
5006739407,2071
5006802599,2073
5006977899,2256
5007059579,2006
5007081254,1017
5007108479,1053
5007130412,2078
5007134704,2083
5007162777,1052
5007265079,2021
5007327479,2009
5007329690,2125
5007399508,1052
5007408833,2002
5007439613,2051
5007449437,2001
